stid,station_name,lat,lon,elev,begints,endts,iem_network
AEEI4,Ames - Horticulture ISU-RDF,42.1067,-93.5848,301.99127,11/14/2013 0:00,,ISUSM
AHDI4,Ames - Hinds Farm,42.0628,-93.6188,275,6/21/2023 0:00,,ISUSM
AHTI4,Ames - Horticulture (Vineyard),42.1081,-93.586,306.091,11/28/2016 0:00,,ISUSM
AKCI4,Ames - Kitchen Farm,41.9968,-93.7031,316,12/17/2021 0:00,,ISUSM
AMFI4,Ames - Finch Farm,42.0621,-93.6984,303.0633,11/15/2018 0:00,,ISUSM
BNKI4,Bankston - Park Farm Winery (Vineyard),42.5175,-90.9142,306.93216,4/11/2017 0:00,,ISUSM
BOOI4,Ames - AEA ISU-RDF,42.0209,-93.7743,335,5/13/2013 0:00,,ISUSM
CAMI4,Sutherland - Northwest ISU-RDF,42.9269,-95.5391,437.10123,9/18/2012 0:00,,ISUSM
CHAI4,Chariton - McNay ISU-RDF,40.9727,-93.4239,322.41336,10/1/2013 0:00,,ISUSM
CIRI4,Cedar Rapids,41.9114,-91.618,235.23763,4/3/2014 0:00,,ISUSM
CNAI4,Castana - Western ISU-RDF,42.0632,-95.8342,421.82462,6/12/2013 0:00,,ISUSM
CRFI4,Crawfordsville - Southeast ISU-RDF,41.1933,-91.4839,222.08257,12/17/2013 0:00,,ISUSM
CSII4,Inwood - Calico Skies Winery,43.3105,-96.5043,422.89212,4/26/2017 0:00,,ISUSM
DOCI4,Jefferson - Deals Orchard,42.003,-94.433,323.38538,6/5/2019 0:00,,ISUSM
DONI4,Doon,43.2988,-96.1875,418.74084,10/24/2013 0:00,,ISUSM
FRUI4,Fruitland - Muscatine Island ISU-RDF,41.356,-91.136,167.67496,4/2/2014 0:00,,ISUSM
GREI4,Greenfield - Neely Kinyon ISU-RDF,41.2801,-94.4492,414.47784,11/12/2013 0:00,,ISUSM
GVNI4,Glenwood - Blackwing Vineyard,41.0441,-95.7749,366.68936,5/3/2017 0:00,,ISUSM
KNAI4,Kanawha,42.9157,-93.7918,363.017,11/5/2013 0:00,,ISUSM
MCSI4,Marcus,42.667,-95.8038,424.61957,11/28/2017 0:00,4/24/2024 0:00,ISUSM
NASI4,Nashua - Northeast ISU-RDF,42.9381,-92.5702,318.74213,6/10/2013 0:00,,ISUSM
NWLI4,Newell - Allee ISU-RDF,42.5896,-95.0127,384.00342,11/13/2013 0:00,,ISUSM
OKLI4,Lewis - Armstrong ISU-RDF,41.3127,-95.1732,395.4868,6/11/2013 0:00,,ISUSM
OSTI4,Oskaloosa - Tassel Ridge (Vineyard),41.3158,-92.6485,248.09186,3/30/2017 0:00,,ISUSM
REFI4,Adel,41.5945,-94.1254,287.14417,4/25/2017 0:00,11/15/2018 0:00,ISUSM
SBEI4,CFE - Ocheyedan,43.3651,-95.6427,481,5/22/2013 0:00,,ISUSM
TPOI4,Masonville - Timeless Prairie Orchard,42.3852,-91.6771,317.4989,2/26/2018 0:00,,ISUSM
WMNI4,Wellman,41.4754,-91.8668,245.43704,6/14/2013 0:00,,ISUSM
WTPI4,West Point,40.7641,-91.4196,228.74449,5/15/2013 0:00,,ISUSM
